Tier,Business Name,Phone,Address,Website,Notes,Call Date,Time of Call,Answered? (Human/Voicemail),Follow-up Status
1,"Holly Springs Heating & Air, LLC",(919) 524-1803,"220 Sherman Rd, Fuquay-Varina, NC 27526",hollyspringsac.com,"Name is literally the town - hyper-local, small op",,,,
1,North Pole HVAC LLC,(919) 720-3679,"312 Palmdale Ct, Holly Springs, NC 27540",nphvacllc.com,"Site says grew from a small local operation - good fit",,,,
1,Service Medic Heating & Air Conditioning,(919) 904-5976,"213 Magnolia Meadow Way, Holly Springs, NC 27540",servicemedics.com,"Local address, small-shop branding",,,,
1,"HRD Air, LLC",(919) 218-9074,"628 Bass Lake Rd, Holly Springs, NC 27540",hrdair.com,"Local address",,,,
1,Triangle Comfort Pro (Comfort Pro LLC),(919) 629-3636,"1012 Silverstone Way, Holly Springs, NC 27540",trianglecomfortpro.com,"Advertises 24/7 - good emergency-call fit",,,,
1,"Alexander Services, LLC",(919) 886-4822,"128 Thomas Mill Rd, Holly Springs, NC 27540",raleighheatingandairservice.com,"Also does plumbing/electrical - higher call volume, 55+ reviews so already busy",,,,
1,"Clear Comfort Plumbing, Heating & Cooling",(919) 616-4625,"PO Box 373, Holly Springs, NC 27540",clearcomfortnc.com,"Open 24/7, also plumbing - higher call volume",,,,
1,"Hooah Heating and Air, LLC",(919) 586-6147,"Holly Springs, NC 27540",hooahheatingandair.com,"Open Mon-Sun 8am-6pm, veteran-owned branding",,,,
1,Austin Heating & Air Conditioning,(919) 557-7090,"PO Box 236, Fuquay-Varina, NC",austinheatingandair.com,"Adjacent town, open 24 hours",,,,
1,Air Shield Heating & Cooling LLC,(919) 218-7283,"Holly Springs, NC 27540",airshieldnchvac.com,"Locally owned and operated per site copy",,,,
1,NC Air Services LLC,(919) 208-6788,"Holly Springs, NC 27540",n/a,"Open 24hrs Mon-Sat, closed Sun - found via Yelp/BBB, no site fetched yet",,,,
2,"Andy's Air & Heating, LLC",(919) 672-7178,"Wendell, NC (serves Holly Springs)",andyshvacnc.com,"HQ ~35min away - lower priority, verify they actually send techs out this far",,,,
2,Air Controls,(919) 770-5379,"Sanford/Pittsboro, NC (serves Holly Springs)",aircontrolsnc.com,"Family-owned per site, but HQ is far - lower priority",,,,
2,"Advanced Comfort Concepts, Inc.",(919) 404-2777,"1501 W Gannon Ave, Zebulon, NC 27597",advancedcomfortconcepts.com,"HQ on far side of Wake County - lower priority",,,,
