Town,Tier,Business Name,Phone,Address,Website,Notes,Call Date,Time of Call,Answered? (Human/Voicemail),Follow-up Status
Fuquay-Varina,1,"Joe Montague Heating and Cooling (JMHC HVAC)",(919) 753-7289,"Fuquay-Varina, NC",jmhchvac.com,"5-star family-owned, in business since 1997, also serves Garner/Wake Forest",,,,
Fuquay-Varina,1,B & J Heat & Air Service,(919) 552-5550,"200 Main St, Fuquay-Varina, NC",bandjheatac.com,"Family-owned since 1998, Mon-Sat 8-5",,,,
Fuquay-Varina,1,Wayne Bryant Heating and Cooling,(919) 631-5132,"708 Birch Hollow Ct, Fuquay-Varina, NC",waynebryanthvac.com,"24/7 service, also serves Clayton",,,,
Apex,1,Peak City Heating & Air,(919) 362-0020,"114 N Salem St, Apex, NC 27502",peakcitycomfort.com,"Owner Jody Connor, 16+ years serving Apex",,,,
Apex,1,Air Best Heating & Cooling,(919) 270-7932,"Apex, NC 27502",airbestheatingcoolingnc.com,"Family-owned, 250+ local projects, 5 Nextdoor awards",,,,
Cary,1,Anthony's Air Service,(919) 999-7480,"517 Sherwood Forest Pl, Cary, NC 27519",anthonysairservice.com,"Local family-owned, genuinely Cary-based",,,,
Garner,1,Modern Mechanical HVAC,(919) 934-1651,"600 Waterfield Ridge Pl, Garner, NC 27529",modernmechhvac.com,"Family-owned since 2007",,,,
Garner,1,AC Today Heating & Cooling,(919) 505-8654,"187 Donmoor Ct, Garner, NC",actodayhvac.com,"Since 2003, started as small family operation, 24/7 live answering (ironic - worth the pitch)",,,,
Garner,1,Burke's Heating and Air,(919) 581-2126,"2664 Timber Drive, Garner, NC 27529",burkesheatingandair.com,"Small family business per site copy",,,,
Garner,1,Eco-Green Air,(984) 205-9063,"3834 Generosity Ct, Garner, NC 27529",egreenair.com,"Family business since 2004",,,,
Wake Forest,1,Air Works Heating & Air,(919) 528-4333,"5100 Unicon Dr Ste 107, Wake Forest, NC 27587",airworksnc.com,"Family-owned since 2007, also does plumbing",,,,
Wake Forest,1,Holm Heating & Cooling,(919) 562-0151,"Wake Forest, NC",holmheatingandcooling.com,"Family-owned, 30+ years experience",,,,
Wake Forest,2,Hobgood Mechanical,(919) 667-4915,"206 W Lake Rd, Creedmoor, NC 27522","hobgoodmechanicalhvac.com","HQ is in Creedmoor (~25min from Wake Forest) but branded/focused on Wake Forest - founded 2007 by ex-large-company tech",,,,
Wake Forest,2,Advanced Appliance & Air Repair,(919) 607-6468,"Youngsville, NC",advappliance.com,"HQ Youngsville, adjacent to Wake Forest; does appliance repair too, not pure HVAC",,,,
Morrisville,1,Klimatology HVAC,(919) 746-4410,"186 Kitty Hawk Dr, Morrisville, NC 27560",klimatologyhvac.com,"Family-owned, customer-first branding, genuinely Morrisville-based",,,,
Morrisville,2,Copeland Heating & Air Conditioning Services,(919) 599-7302,"Durham/Morrisville area, NC",copelandhvac.com,"Address listings conflict between Durham and Morrisville - verify on call; 30+ years, also does electrical/appliance/handyman",,,,
Clayton,1,Mechanical Refrigeration Service,(919) 720-3174,"Clayton, NC 27520",mrservicenc.com,"Genuinely Clayton-based",,,,
Clayton,1,Patriot HVAC Services LLC,(919) 634-4419,"Clayton, NC 27527",patriothvacnc.com,"Veteran-branded, genuinely Clayton-based",,,,
Knightdale,1,Triangle Repair Group Heating & Cooling,(919) 234-7721,"704 Three Sisters Rd, Knightdale, NC 27545",trianglerepairgroupnc.com,"24/7 emergency service, also serves Clayton/Garner",,,,
Knightdale,1,Quality Comfort Services,(919) 217-5640,"725 Bethlehem Rd, Knightdale, NC 27545",qcshvac.com,"Family-owned since 1999, NATE-certified techs",,,,
Raleigh,1,SantaAir Heating and Air,(919) 635-5289,"2940 Trawick Rd Unit 11, Raleigh, NC 27604",santaair.com,"Independent family-owned since 2013, top-rated on Yelp/Google",,,,
Raleigh,1,Degree Above Heating and Air,(919) 213-1901,"911 Paverstone Dr Ste A, Raleigh, NC 27615",degreeabovenc.com,"Family-owned, smaller local shop",,,,
Raleigh,2,North Raleigh Air Inc,(919) 848-7735,"Youngsville, NC (branded North Raleigh)",northraleighair.com,"Army veteran and family owned, 30 years - HQ address listed as Youngsville despite branding",,,,
Durham,1,Hays Heating and Air Conditioning,(919) 471-8020,"Durham, NC",hayshvac.net,"Father-son duo - very small, strong fit",,,,
Durham,1,Alternative Aire,(919) 404-9040,"3156 Hillsborough Rd, Durham, NC 27705",alternativeaire.com,"Locally owned, incorporated 2009",,,,
Durham,1,CWJ Heating & Air Conditioning,(919) 296-4999,"4901 Hillsborough Rd, Durham, NC 27705",cwjheatac.net,"Family-owned since 1972, 24/7 emergency",,,,
Chapel Hill,1,Stone Services Inc,(919) 933-1423,"3403 NC Hwy 54 W, Chapel Hill, NC 27516",stoneservicesinc.com,"Serving Chapel Hill/Carrboro since 1991",,,,
